	T0A	T0B	T14A	T14B
ENSG00000240151	0	0	0	0
ENSG00000240152	0	0	0	0
ENSG00000240156	0	0	0	0
ENSG00000240159	0	0	0	0
ENSG00000240160	0	0	0	0
ENSG00000240163	6	2	6	2
ENSG00000240167	0	0	0	0
ENSG00000240173	1	0	0	0
ENSG00000240174	2	2	0	0
ENSG00000240175	0	0	0	0
ENSG00000240179	0	0	0	0
ENSG00000240180	0	0	0	0
ENSG00000240183	0	0	0	0
ENSG00000240184	3845	2280	1789	1703
ENSG00000240186	0	0	0	0
ENSG00000240189	0	0	0	0
ENSG00000240194	0	0	0	0
ENSG00000240197	0	0	0	0
ENSG00000240198	0	0	0	0
ENSG00000240199	0	0	0	0
ENSG00000240201	0	0	0	0
ENSG00000240202	0	0	0	0
ENSG00000240203	0	0	0	0
ENSG00000240204	31	35	4	0
ENSG00000240205	0	0	0	0
ENSG00000240207	80	56	6	11
ENSG00000240210	2	1	1	0
ENSG00000240211	2	1	1	4
ENSG00000240215	0	0	0	0
ENSG00000240216	2	1	0	4
ENSG00000240219	3	1	6	8
ENSG00000240224	0	0	0	0
ENSG00000240225	355	293	404	464
ENSG00000240230	862	501	478	427
ENSG00000240231	3	0	0	1
ENSG00000240233	0	0	0	0
ENSG00000240235	0	0	0	0
ENSG00000240236	0	1	0	1
ENSG00000240237	0	1	2	0
ENSG00000240238	5	3	3	2
ENSG00000240240	0	0	0	1
ENSG00000240241	0	0	0	0
ENSG00000240244	6	4	2	1
ENSG00000240246	0	0	0	0
ENSG00000240247	0	0	0	0
ENSG00000240250	0	0	0	2
ENSG00000240253	0	0	0	0
ENSG00000240254	0	0	0	1
ENSG00000240255	0	0	0	0
ENSG00000240265	0	0	0	0
ENSG00000240268	0	0	0	0
ENSG00000240270	4	4	1	1
ENSG00000240271	1	0	0	0
ENSG00000240280	3	2	1	8
ENSG00000240281	0	0	0	0
ENSG00000240286	0	0	0	0
ENSG00000240288	17	10	11	9
ENSG00000240291	7	10	23	24
ENSG00000240294	0	0	0	0
ENSG00000240296	1	1	1	0
ENSG00000240298	0	0	0	0
ENSG00000240299	0	0	0	0
ENSG00000240302	0	0	0	0
ENSG00000240303	0	0	0	0
ENSG00000240305	0	0	0	0
ENSG00000240306	0	0	0	0
ENSG00000240309	0	0	1	0
ENSG00000240311	34	23	21	18
ENSG00000240317	0	0	0	0
ENSG00000240320	0	0	0	0
ENSG00000240322	0	0	0	5
ENSG00000240327	0	0	0	0
ENSG00000240328	0	0	0	0
ENSG00000240338	0	0	2	0
ENSG00000240342	4389	2681	1978	1964
ENSG00000240344	760	504	656	742
ENSG00000240347	0	0	0	0
ENSG00000240350	33	20	10	9
ENSG00000240354	0	0	0	0
ENSG00000240355	0	0	0	0
ENSG00000240356	537	285	185	218
ENSG00000240359	0	0	0	0
ENSG00000240361	0	0	0	0
ENSG00000240364	0	0	0	0
ENSG00000240366	3	3	3	1
ENSG00000240370	79	25	30	29
ENSG00000240371	21	9	11	8
ENSG00000240373	0	4	0	0
ENSG00000240374	0	0	0	0
ENSG00000240375	0	2	1	1
ENSG00000240376	226	116	136	116
ENSG00000240382	0	0	0	0
ENSG00000240385	0	0	0	0
ENSG00000240386	0	0	0	0
ENSG00000240388	2	2	0	1
ENSG00000240392	5	5	8	0
ENSG00000240393	0	0	0	0
ENSG00000240395	16	8	12	8
ENSG00000240399	27	14	16	7
ENSG00000240401	19	30	17	11
ENSG00000240403	0	0	0	0
ENSG00000240404	0	0	0	0
ENSG00000240405	2	2	2	0
ENSG00000240409	1	1	4	5
ENSG00000240411	0	0	0	0
ENSG00000240412	0	0	0	0
ENSG00000240416	1	0	0	0
ENSG00000240418	1	2	1	3
ENSG00000240419	0	0	0	0
ENSG00000240423	0	0	0	0
ENSG00000240424	0	1	0	0
ENSG00000240426	0	0	0	0
ENSG00000240427	0	0	0	0
ENSG00000240429	65	37	43	39
ENSG00000240432	0	0	0	0
ENSG00000240435	1	0	2	0
ENSG00000240436	0	0	0	0
ENSG00000240438	0	0	0	0
ENSG00000240439	0	0	0	0
ENSG00000240440	1	1	0	1
ENSG00000240441	0	0	2	2
ENSG00000240443	0	0	0	0
ENSG00000240445	64	36	26	31
ENSG00000240449	26	17	24	27
ENSG00000240450	0	0	0	0
ENSG00000240452	0	0	0	0
ENSG00000240454	0	0	0	0
ENSG00000240457	0	0	0	0
ENSG00000240458	0	0	0	0
ENSG00000240459	1	1	0	1
ENSG00000240463	103	46	41	31
ENSG00000240470	0	0	0	0
ENSG00000240471	1	2	2	0
ENSG00000240474	0	0	0	0
ENSG00000240476	0	0	4	1
ENSG00000240477	2	4	0	2
ENSG00000240478	0	0	0	0
ENSG00000240480	1	0	1	1
ENSG00000240481	0	0	0	0
ENSG00000240484	0	0	0	0
ENSG00000240486	0	0	0	0
ENSG00000240487	0	0	0	0
ENSG00000240489	61	49	29	39
ENSG00000240490	0	0	0	3
ENSG00000240494	0	0	0	0
ENSG00000240497	0	0	0	0
ENSG00000240498	25	10	4	9
ENSG00000240499	4	2	1	0
ENSG00000240502	0	0	0	0
ENSG00000240505	0	0	0	0
ENSG00000240509	57	43	48	26
ENSG00000240511	0	0	0	0
ENSG00000240513	0	0	0	1
ENSG00000240518	0	0	0	0
ENSG00000240519	1	0	0	0
ENSG00000240520	0	0	1	0
ENSG00000240521	0	0	0	0
ENSG00000240522	4	1	8	19
ENSG00000240524	0	0	0	0
ENSG00000240527	108	66	116	89
ENSG00000240531	4	3	2	2
ENSG00000240533	0	0	0	0
ENSG00000240534	0	0	0	0
ENSG00000240535	0	0	0	0
ENSG00000240540	5	1	2	3
ENSG00000240541	0	0	17	12
ENSG00000240542	0	0	0	0
ENSG00000240545	0	0	0	0
ENSG00000240549	2	0	0	2
ENSG00000240553	0	0	0	2
ENSG00000240554	0	1	2	0
ENSG00000240562	0	0	0	0
ENSG00000240563	46	28	2	2
ENSG00000240566	0	0	0	0
ENSG00000240567	0	0	0	0
ENSG00000240568	0	0	0	0
ENSG00000240571	1	0	1	3
ENSG00000240572	0	0	0	0
ENSG00000240573	0	0	0	0
ENSG00000240577	0	0	0	0
ENSG00000240578	0	0	0	0
ENSG00000240579	0	1	0	0
ENSG00000240583	36	23	820	778
ENSG00000240584	0	0	0	0
ENSG00000240589	0	0	0	2
ENSG00000240590	0	0	0	1
ENSG00000240591	0	1	0	0
ENSG00000240596	0	0	0	0
ENSG00000240601	0	0	0	0
ENSG00000240602	0	0	8	3
ENSG00000240606	0	0	0	0
ENSG00000240611	0	0	0	0
ENSG00000240613	0	0	0	0
ENSG00000240616	87	57	58	54
ENSG00000240621	0	0	0	0
ENSG00000240622	3	0	1	3
ENSG00000240624	0	0	1	0
ENSG00000240625	1	0	0	0
ENSG00000240626	0	0	0	0
ENSG00000240627	1	0	1	2
ENSG00000240631	2	0	0	0
ENSG00000240632	0	0	0	0
ENSG00000240634	1	3	8	4
ENSG00000240637	0	0	0	0
ENSG00000240639	0	0	0	0
ENSG00000240641	0	0	0	0
ENSG00000240647	0	0	0	0
ENSG00000240651	0	0	0	0
ENSG00000240652	126	23	56	73
ENSG00000240654	0	0	0	0
ENSG00000240661	54	47	15	21
ENSG00000240663	0	0	0	0
ENSG00000240665	0	0	0	0
ENSG00000240666	7	13	25	27
ENSG00000240667	0	0	0	0
ENSG00000240668	7	7	0	0
ENSG00000240669	1	0	0	1
ENSG00000240671	0	0	0	0
ENSG00000240673	3	0	0	1
ENSG00000240674	17	10	5	15
ENSG00000240677	0	0	0	1
ENSG00000240680	0	1	0	0
ENSG00000240682	624	340	489	509
ENSG00000240687	0	0	0	0
ENSG00000240692	0	0	0	0
ENSG00000240694	1467	895	1260	1211
ENSG00000240695	8	11	8	14
ENSG00000240698	0	0	0	0
ENSG00000240704	0	0	0	0
ENSG00000240707	19	5	4	2
ENSG00000240708	0	1	4	0
ENSG00000240710	2	0	1	4
ENSG00000240713	0	0	0	0
ENSG00000240718	0	0	2	0
ENSG00000240720	5	6	1	2
ENSG00000240721	0	0	0	0
ENSG00000240723	2	0	0	0
ENSG00000240724	0	0	0	0
ENSG00000240729	2	0	0	1
ENSG00000240731	96	52	52	71
ENSG00000240733	0	0	0	0
ENSG00000240738	0	1	0	0
ENSG00000240739	0	0	0	0
ENSG00000240747	34	40	42	28
ENSG00000240750	0	0	0	0
ENSG00000240751	4	0	1	3
ENSG00000240752	0	0	0	0
ENSG00000240755	0	0	0	0
ENSG00000240758	0	0	0	0
ENSG00000240759	4	0	3	2
ENSG00000240760	0	0	0	0
ENSG00000240761	0	0	0	0
ENSG00000240764	187	65	27	30
ENSG00000240766	0	0	0	0
ENSG00000240767	0	0	0	0
ENSG00000240770	2	0	0	0
ENSG00000240771	543	253	147	111
ENSG00000240772	0	0	0	0
ENSG00000240774	0	0	0	0
ENSG00000240775	0	0	0	0
ENSG00000240776	8	2	1	3
ENSG00000240777	0	0	0	0
ENSG00000240785	1	0	1	1
ENSG00000240787	1	0	0	0
ENSG00000240790	0	0	1	0
ENSG00000240791	0	0	0	0
ENSG00000240792	0	0	1	0
ENSG00000240793	5	4	11	6
ENSG00000240796	0	0	0	0
ENSG00000240800	0	0	0	0
ENSG00000240801	0	0	0	0
ENSG00000240803	0	0	0	0
ENSG00000240804	0	0	0	0
ENSG00000240808	2	1	3	2
ENSG00000240809	85	44	31	21
ENSG00000240813	0	1	0	3
ENSG00000240821	0	0	0	0
ENSG00000240823	3	4	6	0
ENSG00000240824	0	0	0	0
ENSG00000240827	0	0	0	0
ENSG00000240828	3	1	1	1
ENSG00000240837	0	0	0	0
ENSG00000240842	0	0	0	0
ENSG00000240846	0	0	0	0
ENSG00000240847	0	0	0	0
ENSG00000240849	3920	2208	4488	4297
ENSG00000240853	0	0	0	0
ENSG00000240854	6	4	10	7
ENSG00000240857	520	446	625	602
ENSG00000240859	175	130	316	254
ENSG00000240861	0	0	0	0
ENSG00000240863	0	0	0	0
ENSG00000240864	0	0	0	0
ENSG00000240868	0	0	0	0
ENSG00000240869	2	1	1	0
ENSG00000240870	0	0	0	0
ENSG00000240871	0	0	0	0
ENSG00000240873	0	0	0	0
ENSG00000240874	3	1	1	3
ENSG00000240875	35	24	104	88
ENSG00000240877	2	4	2	0
ENSG00000240881	0	0	1	0
ENSG00000240882	3	1	1	1
ENSG00000240888	0	0	0	0
ENSG00000240889	12	9	15	13
ENSG00000240890	2	0	3	1
ENSG00000240891	25	12	16	16
ENSG00000240893	0	0	0	0
ENSG00000240895	0	0	0	0
ENSG00000240898	17	17	13	11
ENSG00000240902	0	0	0	0
ENSG00000240905	0	0	0	0
ENSG00000240912	1	0	1	1
ENSG00000240914	1	3	0	1
ENSG00000240915	1	0	0	0
ENSG00000240919	10	9	4	2
ENSG00000240922	0	2	3	0
ENSG00000240925	0	0	0	1
ENSG00000240927	0	0	0	0
ENSG00000240929	0	0	0	0
ENSG00000240934	0	0	0	0
ENSG00000240935	0	0	0	0
ENSG00000240936	0	0	0	0
ENSG00000240940	0	0	0	0
ENSG00000240950	49	34	34	26
ENSG00000240951	0	0	0	0
ENSG00000240954	2	4	3	2
ENSG00000240959	0	0	0	0
ENSG00000240960	0	0	0	0
ENSG00000240961	0	0	0	0
ENSG00000240963	0	0	0	0
ENSG00000240964	4	0	0	2
ENSG00000240966	0	0	0	0
ENSG00000240970	7	10	14	14
ENSG00000240972	23	10	20	6
ENSG00000240973	0	0	0	0
ENSG00000240974	0	0	0	0
ENSG00000240975	3	1	4	1
ENSG00000240977	0	0	0	0
ENSG00000240979	0	0	0	0
ENSG00000240980	0	0	0	0
ENSG00000240983	0	0	0	1
ENSG00000240990	19	6	15	6
ENSG00000240991	1	2	0	2
ENSG00000240992	0	0	0	0
ENSG00000240993	0	0	0	0
ENSG00000240995	0	1	0	1
ENSG00000240996	0	0	2	2
ENSG00000240997	0	0	0	0
ENSG00000241002	1	1	1	2
ENSG00000241003	0	0	0	1
ENSG00000241007	11	6	15	9
ENSG00000241008	1	1	0	1
ENSG00000241011	0	0	0	0
ENSG00000241014	58	32	68	93
ENSG00000241015	201	113	130	121
ENSG00000241018	0	0	0	0
ENSG00000241020	0	0	0	0
ENSG00000241022	0	0	0	0
ENSG00000241026	0	0	0	2
ENSG00000241030	2	2	3	3
ENSG00000241032	0	0	0	0
ENSG00000241035	0	0	0	0
ENSG00000241037	0	0	0	0
ENSG00000241042	0	0	0	0
ENSG00000241043	70	34	24	59
ENSG00000241045	0	0	0	0
ENSG00000241048	0	0	0	1
ENSG00000241052	0	0	0	2
ENSG00000241054	0	0	0	0
ENSG00000241057	0	0	1	0
ENSG00000241058	203	176	327	236
ENSG00000241059	0	0	0	0
ENSG00000241061	52	34	19	32
ENSG00000241064	0	0	0	0
ENSG00000241067	0	0	0	0
ENSG00000241069	0	0	0	0
ENSG00000241073	0	0	0	0
ENSG00000241074	0	0	0	0
ENSG00000241081	32	19	17	23
ENSG00000241082	0	0	0	0
ENSG00000241084	0	0	0	0
ENSG00000241088	1	0	1	0
ENSG00000241095	2	6	6	9
ENSG00000241097	0	0	0	0
ENSG00000241098	0	0	0	0
ENSG00000241101	0	0	2	0
ENSG00000241102	0	0	0	0
ENSG00000241103	0	0	0	0
ENSG00000241104	0	0	0	0
ENSG00000241105	0	0	0	0
ENSG00000241106	7	2	3	3
ENSG00000241111	5	3	6	12
ENSG00000241112	2	0	0	3
ENSG00000241114	0	0	0	0
ENSG00000241119	0	0	0	0
ENSG00000241120	2	2	0	1
ENSG00000241123	0	0	0	0
ENSG00000241127	607	368	419	454
ENSG00000241128	0	0	0	0
ENSG00000241129	0	2	0	0
ENSG00000241130	0	0	0	0
ENSG00000241131	1	0	0	0
ENSG00000241134	0	0	0	0
ENSG00000241135	0	0	0	0
ENSG00000241136	0	0	0	0
ENSG00000241143	0	0	0	0
ENSG00000241144	0	0	0	0
ENSG00000241146	0	0	0	0
ENSG00000241149	0	1	1	1
ENSG00000241151	0	0	6	0
ENSG00000241152	0	0	0	0
ENSG00000241155	2	4	0	6
ENSG00000241156	0	0	0	0
ENSG00000241157	4	0	6	1
ENSG00000241158	0	0	102	77
ENSG00000241159	0	0	0	0
ENSG00000241162	0	0	0	0
ENSG00000241163	6	2	5	6
ENSG00000241168	0	0	0	0
ENSG00000241169	0	0	0	0
ENSG00000241170	31	24	22	19
ENSG00000241172	0	0	0	0
ENSG00000241174	0	0	0	0
ENSG00000241175	0	0	0	0
ENSG00000241179	2	0	0	0
ENSG00000241180	0	0	0	0
ENSG00000241183	0	0	0	0
ENSG00000241185	1	0	0	1
ENSG00000241186	0	0	2	0
ENSG00000241187	0	2	1	1
ENSG00000241188	0	0	0	2
ENSG00000241198	0	0	0	0
ENSG00000241200	0	0	0	0
ENSG00000241202	0	0	0	0
ENSG00000241203	0	0	0	0
ENSG00000241204	0	0	0	0
ENSG00000241207	0	0	2	1
ENSG00000241211	0	0	0	0
ENSG00000241213	0	0	0	0
ENSG00000241216	0	0	0	0
ENSG00000241217	2	2	0	2
ENSG00000241218	0	0	11	5
ENSG00000241219	0	0	0	0
ENSG00000241220	0	0	0	0
ENSG00000241221	0	0	0	0
ENSG00000241223	0	0	0	0
ENSG00000241224	0	0	0	0
ENSG00000241225	0	0	0	0
ENSG00000241226	0	0	0	0
ENSG00000241227	0	0	0	0
ENSG00000241228	0	1	0	0
ENSG00000241229	0	0	0	0
ENSG00000241230	0	0	0	0
ENSG00000241231	0	0	0	0
ENSG00000241233	0	0	0	0
ENSG00000241241	0	0	0	0
ENSG00000241243	0	0	0	0
ENSG00000241244	0	0	0	0
ENSG00000241246	0	0	0	0
ENSG00000241248	0	0	0	0
ENSG00000241250	0	1	0	0
ENSG00000241251	1	1	1	0
ENSG00000241255	41	37	18	26
ENSG00000241257	0	0	0	0
ENSG00000241258	1800	1069	1155	1172
ENSG00000241261	0	0	0	1
ENSG00000241269	0	0	0	2
ENSG00000241278	14	13	3	0
ENSG00000241280	0	2	0	0
ENSG00000241281	2	1	1	1
ENSG00000241282	4	1	3	2
ENSG00000241286	0	0	0	0
ENSG00000241288	351	226	64	50
ENSG00000241291	0	0	0	0
ENSG00000241293	0	0	2	2
ENSG00000241294	0	0	0	0
ENSG00000241295	0	0	0	0
ENSG00000241305	0	0	2	2
ENSG00000241307	0	0	0	0
ENSG00000241313	13	3	10	9
ENSG00000241316	115	68	72	68
ENSG00000241317	0	0	0	0
ENSG00000241318	2	3	8	4
ENSG00000241319	0	0	0	0
ENSG00000241322	0	0	0	2
ENSG00000241324	0	0	0	0
ENSG00000241326	0	0	0	0
ENSG00000241328	0	0	0	0
ENSG00000241333	2	0	0	0
ENSG00000241334	3	2	1	1
ENSG00000241336	0	0	0	0
ENSG00000241343	192	123	102	130
ENSG00000241344	0	0	0	0
ENSG00000241345	0	0	0	0
ENSG00000241346	2	0	2	0
ENSG00000241347	0	0	0	0
ENSG00000241350	0	0	0	0
ENSG00000241351	0	0	0	0
ENSG00000241352	36	20	21	16
ENSG00000241353	0	0	0	0
ENSG00000241354	0	1	0	1
ENSG00000241356	0	0	0	0
ENSG00000241357	1	0	0	0
ENSG00000241358	0	0	0	0
ENSG00000241359	0	1	0	0
ENSG00000241360	4	0	0	3
ENSG00000241361	0	0	0	0
ENSG00000241362	8	8	4	2
ENSG00000241367	0	0	0	0
ENSG00000241369	0	0	0	0
ENSG00000241370	24	17	32	17
ENSG00000241383	0	0	0	0
ENSG00000241385	0	0	0	0
ENSG00000241388	0	0	0	0
ENSG00000241391	0	0	0	0
ENSG00000241392	0	0	0	0
ENSG00000241395	0	0	0	0
ENSG00000241397	0	0	0	0
ENSG00000241399	135	135	874	865
ENSG00000241400	0	0	2	0
ENSG00000241404	35	23	8	25
ENSG00000241406	0	0	0	0
ENSG00000241409	0	0	3	0
ENSG00000241411	21	34	23	22
ENSG00000241413	0	0	0	0
ENSG00000241416	0	0	0	0
ENSG00000241418	0	0	1	0
ENSG00000241420	0	0	0	0
ENSG00000241423	0	0	0	0
ENSG00000241429	17	9	6	7
ENSG00000241431	19	7	11	15
ENSG00000241434	0	0	0	0
ENSG00000241438	0	0	0	0
ENSG00000241439	0	0	6	0
ENSG00000241449	0	0	0	0
ENSG00000241451	0	0	0	0
ENSG00000241456	0	0	0	0
ENSG00000241457	0	0	0	0
ENSG00000241458	3	3	4	3
ENSG00000241461	0	0	2	0
ENSG00000241462	0	0	0	0
ENSG00000241464	4	4	3	2
ENSG00000241468	2211	988	2583	2448
ENSG00000241469	0	0	0	0
ENSG00000241472	6	15	17	22
ENSG00000241473	6	2	1	1
ENSG00000241475	0	0	0	0
ENSG00000241476	0	0	0	0
ENSG00000241478	23	22	34	48
ENSG00000241479	0	0	0	0
ENSG00000241484	0	0	3	0
ENSG00000241487	0	0	0	0
ENSG00000241489	10	4	4	10
ENSG00000241490	0	0	0	0
ENSG00000241493	0	0	2	3
ENSG00000241494	25	22	17	32
ENSG00000241499	0	0	0	0
ENSG00000241505	0	0	0	0
ENSG00000241506	89	53	91	93
ENSG00000241511	42	30	23	21
ENSG00000241520	1	2	3	5
ENSG00000241524	0	0	0	1
ENSG00000241525	2	0	0	0
ENSG00000241526	0	0	0	1
ENSG00000241527	0	0	0	0
ENSG00000241529	2	0	0	0
ENSG00000241532	0	0	0	0
ENSG00000241535	2	0	0	0
ENSG00000241537	0	2	1	1
ENSG00000241539	0	0	0	0
ENSG00000241542	0	0	0	0
ENSG00000241544	0	0	0	0
ENSG00000241546	0	0	0	0
ENSG00000241547	37	32	19	18
ENSG00000241549	16	5	5	5
ENSG00000241550	0	0	0	0
ENSG00000241552	0	0	0	0
ENSG00000241553	4071	2361	3019	2751
ENSG00000241556	2	1	1	4
ENSG00000241560	0	0	0	1
ENSG00000241562	1	0	1	2
ENSG00000241563	2	4	0	4
ENSG00000241566	0	0	0	0
ENSG00000241568	0	0	0	0
ENSG00000241570	0	0	0	3
ENSG00000241571	0	0	0	0
ENSG00000241572	0	0	0	0
ENSG00000241573	0	0	0	0
ENSG00000241577	0	0	0	0
ENSG00000241582	1	1	1	0
ENSG00000241587	0	0	0	0
ENSG00000241588	0	0	0	0
ENSG00000241590	0	1	1	1
ENSG00000241592	0	0	0	0
ENSG00000241593	8	6	5	5
ENSG00000241595	0	0	0	0
ENSG00000241596	0	0	0	0
ENSG00000241597	2	0	0	0
ENSG00000241598	0	0	0	0
ENSG00000241599	0	0	0	0
ENSG00000241604	0	0	0	0
ENSG00000241607	0	0	0	0
ENSG00000241612	7	13	8	5
ENSG00000241613	0	0	0	0
ENSG00000241621	0	0	0	0
ENSG00000241622	0	0	0	0
ENSG00000241625	0	0	0	0
ENSG00000241627	8	6	4	7
ENSG00000241631	0	0	0	1
ENSG00000241634	7	6	4	3
ENSG00000241635	0	0	2	2
ENSG00000241636	0	0	0	0
ENSG00000241640	0	0	0	0
ENSG00000241641	0	0	0	0
ENSG00000241644	102	53	3876	3887
ENSG00000241648	0	0	0	0
ENSG00000241651	1	0	0	0
ENSG00000241652	0	0	0	0
ENSG00000241654	0	0	0	0
ENSG00000241656	3	1	0	2
ENSG00000241657	0	0	0	0
ENSG00000241661	0	0	0	0
ENSG00000241665	0	0	0	0
ENSG00000241666	0	0	0	0
ENSG00000241667	0	0	0	0
ENSG00000241668	1	0	3	0
ENSG00000241669	0	0	0	0
ENSG00000241670	0	0	0	0
ENSG00000241671	0	0	0	0
ENSG00000241673	0	0	0	0
ENSG00000241678	0	0	0	1
ENSG00000241679	0	3	4	8
ENSG00000241680	40	22	27	20
ENSG00000241684	16	4	25	28
ENSG00000241685	10728	6222	5772	5493
ENSG00000241690	0	0	0	0
ENSG00000241693	0	0	0	0
ENSG00000241695	0	0	0	0
ENSG00000241696	0	0	0	0
ENSG00000241697	0	0	0	0
ENSG00000241709	0	0	0	0
ENSG00000241717	0	0	0	3
ENSG00000241720	0	0	0	0
ENSG00000241721	0	0	0	0
ENSG00000241722	3	1	0	0
ENSG00000241723	5	3	3	3
ENSG00000241728	0	0	0	0
ENSG00000241735	0	0	2	2
ENSG00000241737	0	0	0	0
ENSG00000241738	0	0	0	1
ENSG00000241739	0	0	0	1
ENSG00000241741	277	184	160	163
ENSG00000241743	0	0	0	0
ENSG00000241744	0	0	0	0
ENSG00000241745	0	0	0	1
ENSG00000241746	9	5	2	4
ENSG00000241749	20	16	4	39
ENSG00000241754	0	0	0	2
ENSG00000241755	0	0	0	0
ENSG00000241756	0	0	0	0
ENSG00000241757	0	0	0	0
ENSG00000241764	80	45	64	57
ENSG00000241765	2	0	0	0
ENSG00000241767	0	0	0	0
ENSG00000241769	13	6	13	13
ENSG00000241770	1	1	1	1
ENSG00000241772	0	0	0	0
ENSG00000241776	0	0	0	0
ENSG00000241777	0	0	0	0
ENSG00000241782	1	3	3	2
ENSG00000241785	0	0	0	0
ENSG00000241787	0	0	0	0
ENSG00000241788	0	0	0	0
ENSG00000241789	0	0	0	0
ENSG00000241790	0	0	0	0
ENSG00000241791	0	0	0	0
ENSG00000241792	0	0	0	0
ENSG00000241794	0	0	0	0
ENSG00000241804	0	0	0	0
ENSG00000241807	0	0	0	0
ENSG00000241808	0	0	0	1
ENSG00000241809	0	0	0	0
ENSG00000241810	0	0	0	0
ENSG00000241815	0	0	0	0
ENSG00000241818	0	0	0	0
ENSG00000241821	0	0	0	0
ENSG00000241825	0	0	0	0
ENSG00000241828	0	0	0	0
ENSG00000241829	0	0	0	4
ENSG00000241832	0	0	0	0
ENSG00000241834	0	0	0	0
ENSG00000241837	1595	1336	2242	2124
ENSG00000241838	0	0	0	0
ENSG00000241839	4075	2219	8225	7167
ENSG00000241846	0	0	0	0
ENSG00000241852	1328	718	496	426
ENSG00000241853	1	4	0	3
ENSG00000241859	2	0	2	5
ENSG00000241860	4	0	1	4
ENSG00000241861	0	0	0	0
ENSG00000241866	0	0	0	0
ENSG00000241868	0	1	5	0
ENSG00000241869	0	0	0	0
ENSG00000241870	0	0	0	0
ENSG00000241874	0	0	0	0
ENSG00000241877	2	1	0	0
ENSG00000241878	1129	595	2865	2732
ENSG00000241879	0	0	0	0
ENSG00000241881	0	0	0	0
ENSG00000241882	1	0	0	0
ENSG00000241884	0	0	0	0
ENSG00000241886	5	0	0	4
ENSG00000241888	0	0	0	0
ENSG00000241889	21	17	12	15
ENSG00000241890	1	0	0	0
ENSG00000241891	0	0	0	0
ENSG00000241899	2	1	1	0
ENSG00000241905	0	0	0	0
ENSG00000241907	2	0	1	4
ENSG00000241911	0	0	0	0
ENSG00000241912	0	0	0	0
ENSG00000241913	0	0	0	0
ENSG00000241917	0	0	0	0
ENSG00000241921	0	0	0	0
ENSG00000241923	4	5	6	4
ENSG00000241926	0	0	0	0
ENSG00000241929	0	0	0	0
ENSG00000241932	4	4	1	4
ENSG00000241933	0	2	0	0
ENSG00000241935	5	2	102	82
ENSG00000241939	0	0	0	0
ENSG00000241941	2	0	0	0
ENSG00000241942	0	0	0	0
ENSG00000241943	0	0	0	0
ENSG00000241945	25	22	23	10
ENSG00000241946	0	0	0	0
ENSG00000241947	0	0	2	2
ENSG00000241950	0	0	0	0
ENSG00000241954	1	0	2	4
ENSG00000241956	2	0	0	0
ENSG00000241959	0	0	0	0
ENSG00000241961	6	2	2	4
ENSG00000241962	9	7	5	14
ENSG00000241963	0	2	0	0
ENSG00000241964	0	0	0	0
ENSG00000241965	0	0	0	0
ENSG00000241973	5623	3128	6630	6360
ENSG00000241975	14	8	11	17
ENSG00000241978	10	9	14	9
ENSG00000241981	0	2	0	0
ENSG00000241983	1	1	1	1
ENSG00000241984	4	1	6	2
ENSG00000241985	0	2	0	1
ENSG00000241990	62	36	233	152
ENSG00000241991	0	0	0	0
ENSG00000241992	0	0	0	0
ENSG00000241993	0	0	0	0
ENSG00000241997	0	0	0	0
ENSG00000242001	0	0	0	0
ENSG00000242009	0	0	2	0
ENSG00000242012	0	0	0	0
ENSG00000242014	0	0	0	0
ENSG00000242017	3	3	7	6
ENSG00000242019	0	0	0	0
ENSG00000242020	0	0	0	0
ENSG00000242021	2	0	2	0
ENSG00000242028	68	26	47	41
ENSG00000242029	0	0	0	0
ENSG00000242034	0	0	0	0
ENSG00000242036	1	0	0	0
ENSG00000242041	1	1	1	1
ENSG00000242042	0	0	0	0
ENSG00000242048	0	0	0	0
ENSG00000242049	0	0	0	0
ENSG00000242052	5	5	3	6
ENSG00000242058	2	3	2	2
ENSG00000242060	9	7	3	5
ENSG00000242061	1	0	0	0
ENSG00000242062	0	0	0	0
ENSG00000242065	0	0	0	0
ENSG00000242066	0	0	1	0
ENSG00000242067	0	4	1	0
ENSG00000242068	6	4	13	12
ENSG00000242070	0	0	0	0
ENSG00000242071	214	123	101	98
ENSG00000242072	0	0	0	0
ENSG00000242073	0	0	0	0
ENSG00000242076	0	0	0	0
ENSG00000242078	0	0	0	0
ENSG00000242079	0	0	0	0
ENSG00000242080	0	0	0	0
ENSG00000242082	0	0	0	0
ENSG00000242083	10	14	9	10
ENSG00000242085	4	4	13	10
ENSG00000242086	665	426	836	796
ENSG00000242087	0	0	0	1
ENSG00000242088	2	3	1	1
ENSG00000242094	0	0	0	0
ENSG00000242097	0	0	0	0
ENSG00000242100	6	5	6	6
ENSG00000242101	0	0	0	0
ENSG00000242102	0	0	2	0
ENSG00000242103	0	0	0	0
ENSG00000242104	0	1	0	0
ENSG00000242107	0	0	0	0
ENSG00000242109	0	0	0	0
ENSG00000242110	98	39	71	46
ENSG00000242111	0	0	0	0
ENSG00000242113	8	3	0	0
ENSG00000242114	16	9	39	18
ENSG00000242118	0	0	0	0
ENSG00000242119	0	0	0	0
ENSG00000242120	0	0	0	0
ENSG00000242121	0	0	0	0
ENSG00000242123	0	0	0	0
ENSG00000242125	1645	1048	1030	1038
ENSG00000242134	0	0	0	0
ENSG00000242135	0	0	0	0
